time,TP9,AF7,AF8,TP10,AUX
1587324922641.625,20.99609375,21.97265625,47.8515625,10.7421875,NaN
1587324922645.5312,18.06640625,42.96875,141.11328125,6.34765625,NaN
1587324922649.4375,20.5078125,23.4375,88.8671875,7.8125,NaN
1587324922653.3438,19.04296875,20.01953125,35.15625,14.6484375,NaN
1587324922657.25,17.08984375,28.3203125,-21.484375,18.5546875,NaN
1587324922661.1562,16.6015625,28.80859375,-128.41796875,15.625,NaN
1587324922665.0625,15.625,44.43359375,3.90625,18.06640625,NaN
1587324922668.9688,18.5546875,37.59765625,109.86328125,24.4140625,NaN
1587324922672.875,18.06640625,29.78515625,200.1953125,23.4375,NaN
1587324922676.7812,22.4609375,4.8828125,20.99609375,20.01953125,NaN
1587324922680.6875,25.390625,18.06640625,-140.13671875,15.13671875,NaN
1587324922684.5938,20.01953125,51.26953125,58.59375,15.13671875,NaN
1587324922688.5,20.99609375,40.0390625,97.65625,16.6015625,NaN
1587324922692.4062,25.390625,40.52734375,102.05078125,11.23046875,NaN
1587324922696.3125,24.90234375,36.62109375,34.1796875,0,NaN
1587324922700.2188,24.4140625,35.64453125,49.31640625,7.32421875,NaN
1587324922704.125,27.83203125,27.34375,95.21484375,19.53125,NaN
1587324922708.0312,27.34375,19.53125,-29.296875,8.7890625,NaN
1587324922711.9375,23.4375,33.69140625,-42.96875,0.9765625,NaN
1587324922715.8438,21.484375,20.99609375,-194.82421875,-0.48828125,NaN
1587324922719.75,16.11328125,33.203125,-222.65625,0,NaN
1587324922723.6562,13.671875,55.17578125,50.78125,5.859375,NaN
1587324922727.5625,11.23046875,46.38671875,93.26171875,1.46484375,NaN
1587324922731.4688,5.37109375,31.73828125,48.33984375,2.44140625,NaN
1587324922735.375,1.953125,24.90234375,17.578125,2.44140625,NaN
1587324922739.2812,4.8828125,40.0390625,134.765625,-7.8125,NaN
1587324922743.1875,9.765625,35.64453125,92.28515625,-7.8125,NaN
1587324922747.0938,4.8828125,40.0390625,62.5,1.953125,NaN
1587324922751,6.34765625,25.87890625,24.4140625,7.8125,NaN
1587324922754.9062,12.20703125,19.53125,-74.21875,7.8125,NaN
1587324922758.8125,13.671875,33.203125,-9.765625,8.7890625,NaN
1587324922762.7188,14.16015625,27.83203125,-4.8828125,9.765625,NaN
1587324922766.625,13.18359375,25.87890625,79.58984375,8.7890625,NaN
1587324922770.5312,14.16015625,1.953125,-4.8828125,7.8125,NaN
1587324922774.4375,14.16015625,5.37109375,-181.640625,-1.46484375,NaN
1587324922778.3438,9.765625,31.73828125,18.5546875,-1.46484375,NaN
1587324922782.25,8.30078125,17.578125,140.625,5.37109375,NaN
1587324922786.1562,13.671875,10.7421875,104.98046875,7.8125,NaN
1587324922790.0625,12.6953125,12.6953125,62.01171875,7.8125,NaN
1587324922793.9688,11.71875,26.85546875,100.5859375,11.71875,NaN
1587324922797.875,17.578125,27.83203125,140.13671875,11.23046875,NaN
1587324922801.7812,15.13671875,2.44140625,8.30078125,0.9765625,NaN
1587324922805.6875,23.4375,2.9296875,-38.0859375,13.18359375,NaN
1587324922809.5938,38.0859375,4.39453125,-78.125,24.90234375,NaN
1587324922813.5,22.4609375,10.7421875,-41.015625,12.20703125,NaN
1587324922817.4062,-1.953125,-2.44140625,26.3671875,-3.90625,NaN
1587324922821.3125,-6.8359375,-16.11328125,-12.6953125,-6.8359375,NaN
1587324922825.2188,-5.37109375,-21.97265625,50.29296875,-1.46484375,NaN
1587324922829.125,-18.06640625,-35.64453125,11.23046875,-14.16015625,NaN
1587324922833.0312,-27.83203125,-16.11328125,76.171875,-19.53125,NaN
1587324922836.9375,-34.1796875,-15.625,124.51171875,-20.99609375,NaN
1587324922840.8438,-35.64453125,-24.4140625,153.80859375,-28.3203125,NaN
1587324922844.75,-40.0390625,-50.29296875,78.61328125,-38.57421875,NaN
1587324922848.6562,-56.15234375,-63.96484375,-77.63671875,-49.31640625,NaN
1587324922852.5625,-60.05859375,-33.203125,1.953125,-37.59765625,NaN
1587324922856.4688,-60.546875,-4.39453125,171.875,-33.69140625,NaN
1587324922860.375,-55.6640625,-6.8359375,171.875,-35.64453125,NaN
1587324922864.2812,-48.33984375,-35.15625,-67.87109375,-37.59765625,NaN
1587324922868.1875,-49.31640625,-28.3203125,-150.390625,-41.9921875,NaN
1587324922872.0938,-49.8046875,-2.9296875,61.03515625,-35.64453125,NaN
1587324922876,-50.29296875,-14.16015625,64.94140625,-32.2265625,NaN
1587324922879.9062,-42.96875,-9.765625,49.8046875,-29.296875,NaN
1587324922883.8125,-28.80859375,-4.8828125,38.0859375,-23.4375,NaN
1587324922887.7188,-23.92578125,6.8359375,73.2421875,-22.4609375,NaN
1587324922891.625,-15.625,-8.30078125,104.00390625,-10.7421875,NaN
1587324922895.5312,-8.7890625,-13.671875,48.33984375,1.46484375,NaN
1587324922899.4375,-5.859375,-5.37109375,105.46875,4.8828125,NaN
1587324922903.3438,0.9765625,-15.625,-58.59375,5.859375,NaN
1587324922907.25,2.9296875,4.8828125,-104.00390625,1.953125,NaN
1587324922911.1562,3.41796875,-0.48828125,31.73828125,2.44140625,NaN
1587324922915.0625,1.46484375,-15.625,67.3828125,5.37109375,NaN
1587324922918.9688,3.90625,-30.76171875,-6.8359375,4.8828125,NaN
1587324922922.875,7.32421875,-14.6484375,0,-0.48828125,NaN
1587324922926.7812,7.8125,4.8828125,121.58203125,9.27734375,NaN
1587324922930.6875,10.25390625,-7.8125,19.53125,20.01953125,NaN
1587324922934.5938,11.23046875,4.39453125,75.1953125,20.01953125,NaN
1587324922938.5,15.625,-17.578125,61.03515625,18.5546875,NaN
1587324922942.4062,17.578125,-20.99609375,-78.125,16.11328125,NaN
1587324922946.3125,15.625,12.6953125,84.9609375,17.578125,NaN
1587324922950.2188,9.27734375,11.23046875,138.671875,14.6484375,NaN
1587324922954.125,3.41796875,13.18359375,134.765625,15.625,NaN
1587324922958.0312,5.37109375,-13.18359375,-19.53125,17.578125,NaN
1587324922961.9375,1.953125,-7.8125,-108.88671875,6.8359375,NaN
1587324922965.8438,-0.9765625,22.94921875,111.81640625,-4.39453125,NaN
1587324922969.75,5.37109375,12.6953125,131.8359375,-7.32421875,NaN
1587324922973.6562,6.34765625,-1.46484375,101.5625,5.37109375,NaN
1587324922977.5625,8.7890625,-13.671875,41.9921875,13.671875,NaN
1587324922981.4688,10.7421875,11.23046875,62.98828125,15.625,NaN
1587324922985.375,16.6015625,17.08984375,70.3125,25.87890625,NaN
1587324922989.2812,26.85546875,1.46484375,-49.8046875,27.83203125,NaN
1587324922993.1875,23.4375,10.25390625,-12.6953125,26.3671875,NaN
1587324922997.0938,18.5546875,2.9296875,-150.87890625,22.4609375,NaN
1587324923001,17.578125,23.4375,-193.359375,15.13671875,NaN
1587324923004.9062,19.04296875,52.734375,66.40625,20.01953125,NaN
1587324923008.8125,21.484375,37.109375,139.6484375,22.94921875,NaN
1587324923012.7188,17.08984375,4.8828125,78.125,25.390625,NaN
1587324923016.625,11.71875,-1.953125,20.99609375,19.04296875,NaN
1587324923020.5312,11.23046875,17.08984375,80.56640625,6.8359375,NaN
1587324923024.4375,11.71875,27.83203125,131.8359375,9.765625,NaN
1587324923028.3438,12.20703125,36.1328125,128.90625,11.23046875,NaN
1587324923032.25,17.08984375,28.3203125,25.87890625,9.27734375,NaN
1587324923036.1562,18.5546875,22.94921875,-95.703125,6.34765625,NaN
1587324923040.0625,17.08984375,36.1328125,-33.203125,1.46484375,NaN
1587324923043.9688,18.06640625,33.203125,-3.41796875,3.41796875,NaN
1587324923047.875,20.99609375,44.43359375,56.15234375,11.23046875,NaN
1587324923051.7812,23.92578125,32.71484375,-30.2734375,18.5546875,NaN
1587324923055.6875,22.94921875,31.25,-224.609375,10.7421875,NaN
1587324923059.5938,26.85546875,67.87109375,-44.43359375,18.06640625,NaN
1587324923063.5,29.296875,62.98828125,93.75,31.73828125,NaN
1587324923067.4062,27.83203125,55.17578125,94.7265625,26.85546875,NaN
1587324923071.3125,30.76171875,52.734375,29.296875,18.5546875,NaN
1587324923075.2188,30.76171875,59.08203125,39.0625,23.4375,NaN
1587324923079.125,30.2734375,54.19921875,45.8984375,28.80859375,NaN
