time,TP9,AF7,AF8,TP10,AUX
1587325083610.375,11.71875,218.26171875,14.16015625,15.13671875,NaN
1587325083614.2812,11.23046875,208.984375,-0.9765625,11.71875,NaN
1587325083618.1875,26.3671875,208.49609375,-2.44140625,16.11328125,NaN
1587325083622.0938,26.85546875,194.3359375,-16.6015625,14.16015625,NaN
1587325083626,20.99609375,263.18359375,66.89453125,14.16015625,NaN
1587325083629.9062,15.625,167.48046875,-3.41796875,16.6015625,NaN
1587325083633.8125,12.6953125,83.49609375,-90.33203125,6.34765625,NaN
1587325083637.7188,12.6953125,142.578125,-51.26953125,0,NaN
1587325083641.625,8.30078125,243.1640625,34.1796875,3.41796875,NaN
1587325083645.5312,4.39453125,237.3046875,49.31640625,9.765625,NaN
1587325083649.4375,4.8828125,-89.35546875,-253.41796875,2.44140625,NaN
1587325083653.3438,6.8359375,-16.11328125,-237.3046875,-5.859375,NaN
1587325083657.25,7.32421875,305.6640625,60.546875,3.90625,NaN
1587325083661.1562,7.8125,293.9453125,80.56640625,9.27734375,NaN
1587325083665.0625,11.23046875,230.95703125,47.8515625,9.27734375,NaN
1587325083668.9688,8.7890625,177.24609375,-0.9765625,2.9296875,NaN
1587325083672.875,6.34765625,220.21484375,35.64453125,5.37109375,NaN
1587325083676.7812,11.71875,97.65625,-66.40625,8.7890625,NaN
1587325083680.6875,5.37109375,118.1640625,-72.265625,-1.953125,NaN
1587325083684.5938,0.9765625,75.68359375,-114.74609375,1.46484375,NaN
1587325083688.5,3.90625,11.71875,-180.17578125,3.41796875,NaN
1587325083692.4062,3.41796875,145.01953125,-88.8671875,3.41796875,NaN
1587325083696.3125,-0.48828125,190.4296875,-49.8046875,7.32421875,NaN
1587325083700.2188,-2.9296875,254.39453125,25.87890625,11.23046875,NaN
1587325083704.125,-0.48828125,151.85546875,-54.6875,9.765625,NaN
1587325083708.0312,0.9765625,164.0625,-52.24609375,8.7890625,NaN
1587325083711.9375,-3.41796875,242.67578125,27.34375,7.32421875,NaN
1587325083715.8438,-7.32421875,228.515625,21.97265625,-0.48828125,NaN
1587325083719.75,3.90625,279.296875,85.44921875,7.8125,NaN
1587325083723.6562,3.41796875,158.203125,-7.8125,6.34765625,NaN
1587325083727.5625,-2.44140625,143.5546875,-44.921875,-3.90625,NaN
1587325083731.4688,4.8828125,243.65234375,44.921875,1.953125,NaN
1587325083735.375,7.32421875,260.25390625,72.75390625,6.34765625,NaN
1587325083739.2812,7.32421875,202.1484375,41.015625,15.625,NaN
1587325083743.1875,12.20703125,-46.875,-195.80078125,18.5546875,NaN
1587325083747.0938,16.11328125,-13.18359375,-212.890625,10.7421875,NaN
1587325083751,20.99609375,188.4765625,-29.296875,10.25390625,NaN
1587325083754.9062,24.4140625,282.71484375,76.66015625,16.6015625,NaN
1587325083758.8125,20.99609375,162.59765625,-9.765625,22.94921875,NaN
1587325083762.7188,11.71875,79.1015625,-92.7734375,11.71875,NaN
1587325083766.625,7.8125,188.96484375,-15.625,3.90625,NaN
1587325083770.5312,12.6953125,71.77734375,-122.0703125,9.765625,NaN
1587325083774.4375,8.30078125,161.62109375,-40.0390625,11.71875,NaN
1587325083778.3438,2.9296875,85.44921875,-94.7265625,10.7421875,NaN
1587325083782.25,2.9296875,-82.51953125,-274.90234375,6.34765625,NaN
1587325083786.1562,11.71875,177.24609375,-65.91796875,10.25390625,NaN
1587325083790.0625,16.11328125,265.13671875,38.57421875,18.5546875,NaN
1587325083793.9688,10.25390625,243.1640625,40.52734375,15.625,NaN
1587325083797.875,5.37109375,225.5859375,37.59765625,6.8359375,NaN
1587325083801.7812,6.34765625,141.6015625,-41.50390625,7.8125,NaN
1587325083805.6875,11.23046875,123.046875,-61.5234375,10.7421875,NaN
1587325083809.5938,11.23046875,177.24609375,-19.53125,6.8359375,NaN
1587325083813.5,12.20703125,242.1875,52.24609375,6.8359375,NaN
1587325083817.4062,9.27734375,-10.25390625,-158.203125,6.8359375,NaN
1587325083821.3125,7.8125,-94.7265625,-279.296875,-2.44140625,NaN
1587325083825.2188,7.8125,222.16796875,-8.30078125,-1.46484375,NaN
1587325083829.125,3.41796875,274.4140625,66.89453125,1.953125,NaN
1587325083833.0312,7.32421875,183.10546875,-6.34765625,2.44140625,NaN
1587325083836.9375,7.8125,172.8515625,-7.32421875,1.46484375,NaN
1587325083840.8438,5.859375,251.46484375,67.3828125,2.9296875,NaN
1587325083844.75,6.8359375,214.84375,38.0859375,10.25390625,NaN
1587325083848.6562,5.37109375,227.5390625,58.10546875,9.765625,NaN
1587325083852.5625,8.7890625,173.828125,22.4609375,12.6953125,NaN
1587325083856.4688,17.08984375,140.625,-4.8828125,17.578125,NaN
1587325083860.375,18.06640625,139.6484375,-11.71875,17.578125,NaN
1587325083864.2812,13.18359375,90.8203125,-62.98828125,18.5546875,NaN
1587325083868.1875,18.5546875,146.97265625,-28.3203125,18.5546875,NaN
1587325083872.0938,24.90234375,83.0078125,-78.125,17.578125,NaN
1587325083876,25.390625,-61.5234375,-223.6328125,18.06640625,NaN
1587325083879.9062,28.80859375,174.8046875,-35.64453125,23.4375,NaN
1587325083883.8125,35.64453125,332.51953125,140.625,32.2265625,NaN
1587325083887.7188,31.25,276.3671875,111.81640625,27.83203125,NaN
1587325083891.625,22.4609375,234.375,83.0078125,17.08984375,NaN
1587325083895.5312,17.578125,211.9140625,56.640625,13.18359375,NaN
1587325083899.4375,12.20703125,216.30859375,53.7109375,9.27734375,NaN
1587325083903.3438,10.25390625,248.53515625,88.8671875,5.859375,NaN
1587325083907.25,2.9296875,195.3125,44.921875,3.90625,NaN
1587325083911.1562,-8.30078125,57.12890625,-93.75,-3.90625,NaN
1587325083915.0625,-13.671875,33.203125,-141.6015625,-10.7421875,NaN
1587325083918.9688,-6.34765625,93.75,-98.14453125,-9.27734375,NaN
1587325083922.875,-1.953125,197.75390625,-8.7890625,-7.32421875,NaN
1587325083926.7812,-5.37109375,206.54296875,20.01953125,-3.90625,NaN
1587325083930.6875,-1.953125,7.8125,-153.3203125,-8.30078125,NaN
1587325083934.5938,3.41796875,85.44921875,-123.046875,-18.06640625,NaN
1587325083938.5,14.16015625,287.109375,64.94140625,-10.25390625,NaN
1587325083942.4062,7.8125,301.26953125,112.79296875,-3.41796875,NaN
1587325083946.3125,2.9296875,215.8203125,60.546875,1.46484375,NaN
1587325083950.2188,14.16015625,159.66796875,7.8125,4.8828125,NaN
1587325083954.125,21.97265625,206.0546875,43.9453125,7.32421875,NaN
1587325083958.0312,19.04296875,116.69921875,-20.5078125,11.23046875,NaN
1587325083961.9375,12.20703125,139.6484375,-12.20703125,10.25390625,NaN
1587325083965.8438,14.16015625,54.19921875,-102.05078125,4.8828125,NaN
1587325083969.75,13.18359375,-100.5859375,-265.13671875,2.9296875,NaN
1587325083973.6562,10.7421875,152.34375,-56.640625,9.27734375,NaN
1587325083977.5625,7.32421875,260.25390625,49.31640625,7.8125,NaN
1587325083981.4688,6.8359375,253.41796875,57.6171875,9.765625,NaN
1587325083985.375,8.30078125,156.73828125,-17.08984375,8.7890625,NaN
1587325083989.2812,14.16015625,129.39453125,-58.59375,4.8828125,NaN
1587325083993.1875,14.16015625,201.171875,4.39453125,9.765625,NaN
1587325083997.0938,3.41796875,203.125,16.6015625,9.27734375,NaN
1587325084001,3.90625,213.37890625,39.0625,0.9765625,NaN
1587325084004.9062,6.34765625,104.4921875,-47.36328125,-1.953125,NaN
1587325084008.8125,-2.9296875,123.046875,-41.015625,4.8828125,NaN
1587325084012.7188,-8.7890625,212.890625,34.1796875,12.6953125,NaN
1587325084016.625,-2.44140625,231.93359375,53.22265625,13.671875,NaN
1587325084020.5312,-0.9765625,154.296875,-6.8359375,10.25390625,NaN
1587325084024.4375,0,-41.015625,-186.5234375,0.9765625,NaN
1587325084028.3438,9.27734375,-10.25390625,-209.9609375,-0.48828125,NaN
1587325084032.25,16.11328125,191.89453125,-28.3203125,15.625,NaN
1587325084036.1562,24.90234375,294.921875,101.5625,23.92578125,NaN
1587325084040.0625,29.296875,165.52734375,11.23046875,25.390625,NaN
1587325084043.9688,29.78515625,68.84765625,-80.56640625,26.85546875,NaN
1587325084047.875,34.66796875,239.74609375,74.70703125,33.203125,NaN
1587325084051.7812,33.69140625,161.1328125,27.83203125,33.69140625,NaN
1587325084055.6875,34.66796875,216.796875,82.03125,34.66796875,NaN
1587325084059.5938,32.2265625,120.60546875,18.5546875,33.69140625,NaN
1587325084063.5,24.90234375,-44.43359375,-146.484375,23.92578125,NaN
1587325084067.4062,28.80859375,195.80078125,41.015625,24.90234375,NaN
1587325084071.3125,36.1328125,252.44140625,112.79296875,27.34375,NaN
1587325084075.2188,32.71484375,249.0234375,132.8125,25.87890625,NaN
1587325084079.125,33.203125,223.6328125,114.2578125,18.5546875,NaN
1587325084083.0312,34.66796875,215.8203125,101.07421875,8.7890625,NaN
1587325084086.9375,22.4609375,207.51953125,82.51953125,7.32421875,NaN
1587325084090.8438,10.25390625,255.37109375,132.32421875,7.32421875,NaN
1587325084094.75,13.671875,340.8203125,238.28125,12.20703125,NaN
1587325084098.6562,12.6953125,13.671875,-57.6171875,3.90625,NaN
1587325084102.5625,9.765625,-85.9375,-202.1484375,-9.27734375,NaN
1587325084106.4688,15.13671875,192.87109375,11.23046875,1.46484375,NaN
1587325084110.375,11.71875,270.01953125,91.796875,5.859375,NaN
1587325084114.2812,9.27734375,248.53515625,98.6328125,4.8828125,NaN
1587325084118.1875,11.71875,197.75390625,62.01171875,2.44140625,NaN
1587325084122.0938,4.8828125,242.1875,91.30859375,-4.8828125,NaN
1587325084126,-5.37109375,241.2109375,98.6328125,-4.8828125,NaN
1587325084129.9062,-4.8828125,250,118.65234375,-3.41796875,NaN
1587325084133.8125,-0.48828125,189.453125,74.70703125,-3.41796875,NaN
1587325084137.7188,2.9296875,85.9375,-28.3203125,-6.34765625,NaN
1587325084141.625,3.90625,131.8359375,-6.8359375,-10.25390625,NaN
1587325084145.5312,5.37109375,86.42578125,-55.6640625,-5.859375,NaN
1587325084149.4375,5.859375,150.390625,-11.23046875,-0.48828125,NaN
1587325084153.3438,6.8359375,143.5546875,0,3.90625,NaN
1587325084157.25,3.90625,-49.31640625,-195.80078125,-1.953125,NaN
1587325084161.1562,10.7421875,189.94140625,-12.6953125,7.32421875,NaN
1587325084165.0625,21.97265625,291.015625,99.609375,20.99609375,NaN
